twitter_id,username
1,fabulousophie
2,Thifany_Fahrie
3,andinadyah
4,Herrreza
5,Andriadinugroho
6,PutraPredana
7,podjiutami
8,ayu_triagst
9,Jogjaiklan
10,ReghinaSA
11,tikancuut
12,dheaqnada
13,propaliautari
14,lulu_linaa
15,FaisalFait
16,mooseiftime
17,lalacil_
18,jollypricilla
19,dede_adeGSS
20,senujoko
21,joko_gsd
22,wahono_bagus
23,NisaNoorWahid
24,inagg
25,idungonad
26,noonimell
27,RonnyHW
28,Oktaviayinzz
29,k2hBs
30,echiemonica
31,BoysEdan
32,budirazac
33,r_syeed
34,Pelangi_BRL
35,ChairaniUR
36,yogieetareeng
37,Rienjie
38,Vionitarahmavio
39,aLam_sya4
40,uj_official
41,Gunmorley
42,zikrijanuardian
43,syahdienA
44,kemalafitri92
45,cicik_awr
46,alfianicx
47,yunike_dwi
48,ardiniaa
49,Whendyawhee
50,dindaptr
51,lesjaw
52,putriaayups
53,ira_3_jaya
54,oktikiki
55,mimishamira
56,RiRiero
57,YasaPutrawijaya
58,DanangWilantoro
59,tryas_ayu
60,skaazkha22
61,yasza
62,kakbayu
63,cldivaa
64,aldyseptiandyak
65,gandisswari
66,divajayajago
67,pitra
68,januarizz
69,pudingkaramel
70,nuginugs
71,manggalataufan
72,stefivia
73,syadilah_81
74,areanaya
75,lalaayam
76,marshaalysia
77,fikamayaa
78,ady_sant
79,apyii_apri
80,CampIklanBaris
81,aji_prayogo
82,rizkitrianto
83,nandolnanda
84,yelyahSIN
85,Biropromosion
86,cilranran
87,ennywin
88,elisabethnp
89,Dhilageta
90,donyprattiwa
91,Sucihpl
92,Gilank_Big19
93,leorenzo99
94,kalyasss
95,IklanJoglo
96,iklansef
97,rosma1108
98,mimi_Dpramita
99,ridwanez
100,Ninisaaaw
101,zulham_ef_fendi
102,BisnisSbgbali
103,PonchoDe
104,Lionel_Cassano
105,aigipowernote
106,diand19
107,ripiudotcom
108,Olelia
109,kucingkeselek
110,DeviyaniS_
111,beqiweni
112,okkabastian
113,HermantoLu
114,MarrendraElit
115,acesa_
116,iloveerainn
117,indissanuva
118,MonicaSundawati
119,Billysoe
120,sastra_wandy
121,jayuzplur
122,salmasyh
123,ODachlan
124,shoffihijrianto
125,opanindo
126,medinasoraya
127,harisashari
128,DevinaAngela
129,applehazel
130,de_stya
131,fqFiqa
132,mashuri007
133,eGimana
134,arif_affandi
135,dita_tifani
136,zhakee
137,yerikhoooo
138,nheztyvani
139,PADOL87
140,HarumeC
141,ThaliaLavender
142,antierivai
143,tiurtobing
144,devyaliciung
145,tokojempolan
146,mangikz
147,giggsygiggs
148,normannoordin
149,wandrapradana
150,jasaiklanbaris
151,alderkt
152,ringgasetiawan
153,AchmadCell
154,GOFoxcom
155,ingo_tajimalela
156,Riani_Agustin
157,ayboyu
158,trishagp
159,aryowaskito
160,Sultan_Shihab
161,icharatna
162,ocianaeude
163,hanhan14
164,kntndwntr
165,MISSNAILAN
166,roby_riyandhi
167,imperativa_
168,lidyaliciousss
169,dibadara
170,niakojaw
171,cindyalvianita
172,peaDR29
173,bismo_HS
174,AfriPrikitiw
175,inicya
176,rizkaneeh
177,JualBeliHaPe
178,NureeLutju
179,ninisss26
180,Aming_Lesmana
181,wikautama
182,YanNoe_
183,bibinabhinowo
184,leonardixb
185,theamunaf
186,ghetoon
187,delongesgurl
188,lelakibugis
189,dylladyllu
190,ongkiyahwe
191,Decy_mutz
192,AstriPangesti
193,SuryoN24
194,dirghakay
195,riickyyo
196,Yusuf_Putra19
197,Dyassj
198,sarypunni
199,yanaDiana
200,vebyolaRU
201,VidhaDjo
202,Afilareza
203,gayuhrestu
204,yudha_sakti
205,hollabackneea
206,arlindafarizanf
207,bennimarcus169
208,zeezah
209,avianzSWRY
210,MuhammadMikram
211,LidyaLeemans
