nama,kode,harga,jenis,status
AS ALTERNATIF 5000,AA5,6200,1,1
AS 5000,A5,6200,1,1
AS 10000,A10,11200,1,1
AS ALTERNATIF 10000,AA10,11200,1,1
 AS ALTERNATIF 20000,AA20,21050,1,1
AS 20000,A20,21050,1,1
AS ALTERNATIF 25000,AA25,26000,1,1
AS 25000,A25,26000,1,1
AS ALTERNATIF 25000,AI25,26000,1,1
AS ALTERNATIF 50000,AA50,50250,1,1
AS 50000,A50,50250,1,1
AS ALTERNATIF 100000,AA100,98100,1,1
AS 100000,A100,98100,1,1
AS ALTERNATIF 100000,AI100,98100,1,1
AXIS 1000,AX1,1988,1,1
AXIS 2000,AX2,2975,1,1
AXIS 3000,AX3,3963,1,1
AXIS 4000,AX4,4950,1,1
AXIS 5000,AX5,5938,1,1
AXIS 6000,AX6,6925,1,1
AXIS 7000,AX7,7913,1,1
AXIS 8000,AX8,8900,1,1
AXIS 9000,AX9,9888,1,1
AXIS 10000,AX10,10875,1,1
AXIS 20000,AX20,20750,1,1
AXIS 25000,AX25,25688,1,1
AXIS 30000,AX30,30625,1,1
AXIS 50000,AX50,50375,1,1
AXIS 100000,AX100,99750,1,1
AXIS TRANSFERPULSA 50000,AXT50,45800,1,2
AXIS TRANSFERPULSA 100000,AXT100,88800,1,2
CERIA 5000,C5,5550,1,1
CERIA 10000,C10,10100,1,1
CERIA 20000,C20,19250,1,1
CERIA 50000,C50,46600,1,1
CERIA 100000,C100,92100,1,1
ESIA 1000,E1,1865,1,1
ESIA 5000,E5,6150,1,1
ESIA 10000,E10,10850,1,1
ESIA 11000,E11,11740,1,1
ESIA 15000,E15,15700,1,1
ESIA 19000,E19,19660,1,1
ESIA 20000,E20,20650,1,1
ESIA 25000,E25,24950,1,1
ESIA 50000,E50,48700,1,1
ESIA 100000,E100,96100,1,1
ESIA TRANSFER 5000,ET5,5750,1,1
ESIA TRANSFER 10000,ET10,10300,1,1
ESIA TRANSFER 25000,ET25,21200,1,1
ESIA TRANSFER 50000,ET50,41200,1,2
FLEXI 1000,F1,1800,1,1
FLEXI 5000,F5,5675,1,1
FLEXI 10000,F10,10500,1,1
FLEXI 20000,F20,20150,1,1
FLEXI 50000,F50,48950,1,1
FLEXI 100000,F100,96950,1,1
FLEXI 150000,F150,147350,1,1
FREN 5000,N5,5800,1,1
FREN 10000,N10,10600,1,1
FREN 20000,N20,20200,1,1
FREN 25000,N25,25000,1,1
FREN 50000,N50,49000,1,1
FREN 100000,N100,97400,1,1
FREN 150000,N150,145000,1,1
FREN 200000,N200,193000,1,1
FREN 300000,N300,289000,1,1
HEPI 5000,P5,5800,1,1
HEPI 10000,P10,10600,1,1
 HEPI 20000,P20,20200,1,1
HEPI 25000,P25,25000,1,1
HEPI 50000,P50,49000,1,1
HEPI 100000,P100,97000,1,1
INDOSATM2 5000,IM5,6500,1,1
INDOSATM2 10000,IM10,11500,1,1
INDOSATM2 25000,IM25,25900,1,1
INDOSATM2 50000,IM50,50000,1,1
INDOSATM2 100000,IM100,98600,1,1
IM3 KHUSUS 2000,IM2,3100,1,1
IM3 REG 2000,I2,3100,1,1
IM3 REG 5000,I5,6100,1,1
IM3 GPRS 5000,ITG5,6100,1,1
IM3 SMS 5000,I5S,6100,1,1
IM3 SMS 250 10000,I10S,11100,1,1
IM3 GPRS 10000,ITG10,11100,1,1
IM3 10000,I10,11100,1,1
